XS_ID POINT CHAINAGE 	LOCAL OTAGO DATUM	ELLIPSOIDAL HEIGHT	NORTHING	EASTING	DATUM	CODE	COMMENT	PREVIOUS LINE REFRENCES	

K2	1087	436.23	196.01	1422725.82	5002682.50	NZTM	SH	                1087  SH
K2	1088	453.35	196.28	1422724.96	5002665.40	NZTM	SH	                1088  SH
K2	1089	464.52	195.50	1422724.55	5002654.23	NZTM	SH	                1089  SH
K2	1090	482.27	195.41	1422723.50	5002636.51	NZTM	SH	                1090  SH
K2	1091	490.60	195.92	1422723.08	5002628.19	NZTM	SH	                1091  SH
K2	1092	502.23	195.89	1422722.36	5002616.59	NZTM	SH	                1092  SH
K2	1093	512.95	196.34	1422721.87	5002605.88	NZTM	SH	                1093  SH
																					  
							
K2	1061	0.33	193.43	1422776.65	5003147.08	NZTM	MWD82-OBS	Benchmark
K2	1060	0.45	193.39	1422776.97	5003146.99	NZTM	F	
K2	1059	6.70	192.96	1422782.04	5003143.25	NZTM	SH	
K2	1058	16.96	192.02	1422790.13	5003136.94	NZTM	SH	
K2	1057	31.57	192.45	1422801.64	5003127.94	NZTM	SH	
K2	1056	47.42	192.62	1422814.03	5003118.07	NZTM	SH	
K2	1055	62.69	192.90	1422826.19	5003108.83	NZTM	SH	
K2	1054	77.65	193.25	1422837.79	5003099.37	NZTM	SH	
K2	1053	90.46	193.11	1422848.01	5003091.64	NZTM	SH	
K2	1052	92.96	193.36	1422849.89	5003089.99	NZTM	SH	
K2	1051	95.04	193.19	1422851.49	5003088.66	NZTM	SH	
