MWD01	7023	87.20	413.19 	321.05 	5008013.61 	1265757.58 	DP
MWD01	7022	99.30	413.10 	320.96 	5008006.27 	1265747.99 	DP
MWD01	7021	106.30	413.00 	320.86 	5008002.30 	1265742.29 	DP
MWD01	7020	113.30	413.03 	320.89 	5007997.42 	1265737.17 	DP
MWD01	7019	122.10	413.18 	321.04 	5007993.04 	1265729.46 	DP
MWD01	7018	128.20	413.35 	321.21 	5007989.32 	1265724.60 	WL
MWD01	7017	149.10	413.48 	321.34 	5007976.67 	1265708.00 	SH
MWD01	7016	153.30	414.40 	322.26 	5007973.88 	1265704.75 	SH
MWD01	7015	153.90	415.03 	322.89 	5007973.68 	1265704.15 	SH
MWD01	7014	162.30	414.89 	322.75 	5007968.96 	1265697.21 	SH
MWD01	7013	169.70	413.96 	321.82 	5007964.78 	1265691.11 	SH
MWD01	7012	175.90	414.33 	322.19 	5007960.79 	1265686.39 	SH
MWD01	7011	197.10	414.34 	322.20 	5007947.93 	1265669.55 	SH
MWD01	7010	214.80	413.86 	321.72 	5007937.77 	1265655.07 	SH
MWD01	7009	233.60	412.64 	320.50 	5007926.57 	1265639.86 	DP
MWD01	5063	234.70	412.93 	320.79 	5007925.77 	1265639.14 	WL-1345
MWD01	7008	234.90	412.91 	320.77 	5007925.88 	1265638.81 	BB
MWD01	7007	235.20	413.28 	321.14 	5007925.76 	1265638.57 	SH
MWD01	5062	236.50	413.78 	321.64 	5007926.92 	1265636.06 	SH
MWD01	7006	238.70	414.21 	322.07 	5007923.54 	1265635.80 	SH
MWD01	5061	240.90	414.04 	321.90 	5007917.38 	1265637.73 	SH
MWD01	7005	244.50	417.16 	325.02 	5007920.25 	1265630.99 	TB
MWD01	5060	245.40	416.93 	324.79 	5007919.31 	1265630.62 	SH
MWD01	7004	246.10	416.67 	324.53 	5007919.05 	1265629.91 	SH
MWD01	5059	249.30	416.66 	324.52 	5007917.31 	1265627.27 	EOL-FE
MWD01	7003	249.40	416.61 	324.47 	5007917.26 	1265627.18 	SH
							
MWD02	5106	0.80	415.28 	323.15 	5007817.36 	1265993.35 	SOL
MWD02	5105	1.00	415.23 	323.10 	5007817.78 	1265993.34 	SH
MWD02	5107	23.10	415.07 	322.94 	5007802.27 	1265974.95 	SH
MWD02	5108	43.90	415.36 	323.23 	5007790.77 	1265957.45 	SH
MWD02	5109	63.10	414.43 	322.30 	5007779.10 	1265942.27 	SH-TRACK
MWD02	5110	64.10	414.30 	322.17 	5007784.20 	1265937.66 	SH
